,sedacounty,sedacountyname,sesall,cs_mn_all
,,,,
1,27001,Aitkin County,0.33046108,0.048204688
2,27001,Aitkin County,0.33046108,-0.374184049
3,27003,Anoka County,1.06602790,0.258986130
4,27003,Anoka County,1.06602790,0.043480389
5,27005,Becker County,0.50962532,0.030336932
6,27007,Beltrami County,-0.21375406,0.010923433
7,27007,Beltrami County,-0.21375406,-0.191978530
8,27009,Benton County,0.48810211,0.272314811
9,27009,Benton County,0.48810211,0.112277907
10,27011,Big Stone County,0.65523213,-0.035824396
11,27011,Big Stone County,0.65523213,0.205690729
12,27013,Blue Earth County,0.51147854,0.069176105
13,27013,Blue Earth County,0.51147854,-0.086924127
14,27015,Brown County,0.94785452,0.166201931
15,27015,Brown County,0.94785452,0.037765659
16,27017,Carlton County,0.53876257,0.076772927
17,27017,Carlton County,0.53876257,0.034038454
18,27019,Carver County,1.74387540,0.583034642
19,27019,Carver County,1.74387540,0.353218368
20,27021,Cass County,0.25260967,-0.176505734
21,27021,Cass County,0.25260967,-0.206428191
22,27023,Chippewa County,0.64078778,0.004705625
23,27023,Chippewa County,0.64078778,-0.078845706
24,27025,Chisago County,1.04254360,0.468310882
25,27025,Chisago County,1.04254360,0.026407834
26,27027,Clay County,0.85300899,0.148737733
27,27027,Clay County,0.85300899,-0.049248497
28,27029,Clearwater County,0.07280485,0.033136107
29,27029,Clearwater County,0.07280485,-0.338140396
30,27031,Cook County,0.87169814,-0.466117088
31,27031,Cook County,0.87169814,-0.043936122
32,27033,Cottonwood County,0.37778068,0.240172955
33,27033,Cottonwood County,0.37778068,0.091195996
34,27035,Crow Wing County,0.69128186,0.512850399
35,27035,Crow Wing County,0.69128186,0.260764134
36,27037,Dakota County,1.25236460,0.333183747
37,27037,Dakota County,1.25236460,0.045226237
38,27039,Dodge County,1.14208260,0.455883782
39,27039,Dodge County,1.14208260,0.139821091
40,27041,Douglas County,1.02099690,0.611092264
41,27041,Douglas County,1.02099690,0.083851271
42,27043,Faribault County,0.57864356,-0.059523588
43,27043,Faribault County,0.57864356,-0.166468027
44,27045,Fillmore County,0.84564495,-0.073662340
45,27045,Fillmore County,0.84564495,-0.113152231
46,27047,Freeborn County,0.38692257,NA
47,27049,Goodhue County,0.79032719,-0.004259884
48,27051,Grant County,0.57488328,0.382717580
49,27051,Grant County,0.57488328,0.089422284
50,27053,Hennepin County,1.03882710,0.183199472
51,27053,Hennepin County,1.03882710,-0.026084437
52,27055,Houston County,0.92737442,0.030508567
53,27055,Houston County,0.92737442,0.000623563
54,27057,Hubbard County,0.62697572,-0.042712917
55,27057,Hubbard County,0.62697572,-0.261846180
56,27059,Isanti County,0.81194806,0.290968862
57,27059,Isanti County,0.81194806,0.101104406
58,27061,Itasca County,0.43778187,-0.015735795
59,27061,Itasca County,0.43778187,-0.105946460
60,27063,Jackson County,0.93119490,NA
61,27065,Kanabec County,0.52971101,0.133313647
62,27065,Kanabec County,0.52971101,-0.152777408
63,27067,Kandiyohi County,0.60465187,0.292010572
64,27067,Kandiyohi County,0.60465187,-0.246369059
65,27069,Kittson County,0.82031298,0.432696031
66,27069,Kittson County,0.82031298,0.071999920
67,27071,Koochiching County,0.13218747,0.343195206
68,27071,Koochiching County,0.13218747,0.004619860
69,27073,Lac qui Parle County,0.77810037,0.216159003
70,27073,Lac qui Parle County,0.77810037,0.145573991
71,27075,Lake County,0.86413807,0.193802193
72,27075,Lake County,0.86413807,-0.019401928
73,27077,Lake of the Woods County,0.43772164,-0.470627120
74,27079,Le Sueur County,0.87936562,0.073303612
75,27079,Le Sueur County,0.87936562,-0.146939499
76,27081,Lincoln County,0.60185879,NA
77,27083,Lyon County,0.52374357,0.450502518
78,27083,Lyon County,0.52374357,-0.032522225
79,27085,McLeod County,0.74266213,0.295891540
80,27085,McLeod County,0.74266213,-0.041065239
81,27087,Mahnomen County,-0.85357946,-0.713619038
82,27089,Marshall County,0.92047584,-0.031024253
83,27089,Marshall County,0.92047584,-0.295828075
84,27091,Martin County,0.40962103,0.053213335
85,27091,Martin County,0.40962103,-0.084618821
86,27093,Meeker County,0.86581886,0.243039868
87,27093,Meeker County,0.86581886,0.076381767
88,27095,Mille Lacs County,0.19389738,0.305028911
89,27095,Mille Lacs County,0.19389738,0.014974245
90,27097,Morrison County,0.57118297,-0.013008398
91,27097,Morrison County,0.57118297,-0.321603288
92,27099,Mower County,0.37101778,-0.001264292
93,27099,Mower County,0.37101778,-0.343231523
94,27101,Murray County,0.93667173,0.088996176
95,27101,Murray County,0.93667173,0.015882177
96,27103,Nicollet County,0.88769549,0.333065784
97,27103,Nicollet County,0.88769549,0.125599287
98,27105,Nobles County,0.32285851,-0.103843294
99,27105,Nobles County,0.32285851,-0.376930818
100,27107,Norman County,0.66986954,0.107220556
101,27107,Norman County,0.66986954,-0.140187466
102,27109,Olmsted County,1.15155260,0.044822323
103,27109,Olmsted County,1.15155260,-0.074774093
104,27111,Otter Tail County,0.79882216,0.389058472
105,27111,Otter Tail County,0.79882216,0.141387927
106,27113,Pennington County,0.50960529,0.432926110
107,27113,Pennington County,0.50960529,0.096240141
108,27115,Pine County,0.28976917,-0.285577554
109,27115,Pine County,0.28976917,-0.336807529
110,27117,Pipestone County,0.56740183,-0.009982382
111,27117,Pipestone County,0.56740183,-0.303712729
112,27119,Polk County,0.57330650,0.250747963
113,27119,Polk County,0.57330650,0.048552878
114,27121,Pope County,0.92037135,0.358875873
115,27121,Pope County,0.92037135,-0.322920653
116,27123,Ramsey County,0.49840012,-0.046432770
117,27123,Ramsey County,0.49840012,-0.207217887
118,27125,Red Lake County,0.51832229,0.300378570
119,27125,Red Lake County,0.51832229,-0.054258539
120,27127,Redwood County,0.76000875,0.150546744
121,27127,Redwood County,0.76000875,-0.107435461
122,27129,Renville County,0.64196795,-0.175675017
123,27129,Renville County,0.64196795,-0.220572386
124,27131,Rice County,0.86325902,0.479449413
125,27131,Rice County,0.86325902,0.078066058
126,27133,Rock County,0.92008209,0.483990014
127,27133,Rock County,0.92008209,-0.218457352
128,27135,Roseau County,0.92836374,-0.042772678
129,27135,Roseau County,0.92836374,0.005566177
130,27137,St. Louis County,0.43421787,0.121766633
131,27137,St. Louis County,0.43421787,-0.030529208
132,27139,Scott County,1.47666220,0.430511553
133,27139,Scott County,1.47666220,0.184148928
134,27141,Sherburne County,1.22953460,0.650487602
135,27141,Sherburne County,1.22953460,0.178474899
136,27143,Sibley County,0.89176339,-0.334558807
137,27143,Sibley County,0.89176339,-0.211869353
138,27145,Stearns County,0.55346322,0.161244904
139,27145,Stearns County,0.55346322,-0.075652446
140,27147,Steele County,0.78632641,0.155704822
141,27147,Steele County,0.78632641,-0.046295023
142,27149,Stevens County,0.86307919,0.367305974
143,27149,Stevens County,0.86307919,0.076517528
144,27151,Swift County,0.40236419,-0.415271348
145,27153,Todd County,0.57484925,-0.223213366
146,27153,Todd County,0.57484925,-0.330667262
147,27155,Traverse County,0.50805664,-0.092625778
148,27155,Traverse County,0.50805664,-0.053019109
149,27157,Wabasha County,0.91693681,0.436909500
150,27157,Wabasha County,0.91693681,-0.002336053
151,27159,Wadena County,-0.05665623,NA
152,27161,Waseca County,0.56843144,-0.199324224
153,27161,Waseca County,0.56843144,-0.302838381
154,27163,Washington County,1.54917180,0.488274080
155,27163,Washington County,1.54917180,0.221554500
156,27165,Watonwan County,0.40759593,-0.091416602
157,27165,Watonwan County,0.40759593,-0.439339061
158,27167,Wilkin County,0.72094703,0.224459176
159,27167,Wilkin County,0.72094703,-0.133940249
160,27169,Winona County,0.73562223,0.231514175
161,27169,Winona County,0.73562223,0.002173506
162,27171,Wright County,1.31652590,0.610555426
"
",,,,
